,Strain,Hour,Replicate,OD600,ipoh_e,glc__D_e,ac_e,for_e,pyr_e,lac__D_e,succ_e,mal__L_e,akg_e,acon__C_e,cit_e,icit_e,mev_R_e,ip_e,dxyl5p_e,2me4p_e,5pmev_e,ex_con.id,h2mb4p_e,2mecdp_e,5dpmev_e,grdp_e,frdp_e,ggdp_e,4c2me_e,gly_e,ala__L_e,ser__L_e,pro__L_e,val__L_e,thr__L_e,cys__L_e,leu__L_e,ile__L_e,asn__L_e,asp__L_e,gln__L_e,glu__L_e,met__L_e,his__L_e,phe__L_e,tyr__L_e,trp__L_e
32,I2,1.0,3,1.065,2.236157011,9.63,0.874863,0.0486027,684.9949548,425.1818649,115.5126531,43.82628959,0.0,0.0,2.55972789,0.0,0.0,10.15830837,0.0,0.0,0.0,0.18613678399999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.7280251,166.0452894,0.0,327.9439181,111.144696,124.8780166,2.810539868,441.88895360000004,312.49438060000006,561.0960296000001,0.0,71.57106062,140.7200311,120.7423284,26.56377348,354.4677431,60.26412754,32.20421287
33,I3,1.0,1,0.9159999999999999,1.435446384,9.655366667000001,0.760576,0.0511714,966.4838809,376.52937210000005,96.63072477,46.18015467,0.0,0.0,2.480621334,0.0,0.0,9.67160336,0.0,0.0,0.0,0.09714568900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.3110336,168.32638930000002,592.3259764,332.4828525,122.59869099999999,173.00439430000003,2.165558542,445.841979,340.0543014,636.3656686,0.0,104.1437123,192.3915581,135.64508,28.18217301,378.4773056,72.70005746,30.30899656
34,I3,1.0,2,0.909,1.505469985,9.655366667000001,0.701025,0.0460292,1001.9970880000001,404.99164260000003,99.54390069,42.74233003,0.0,0.0,4.759562394,0.0,0.0,9.660434867000001,0.0,0.0,0.0,0.132687555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0554619,171.9539011,620.3513929999999,338.18131789999995,125.24806570000001,173.8415327,3.0882016489999997,463.79250650000006,345.7625828,682.2044152999999,0.0,106.18691979999998,199.6567155,138.4499007,26.92329206,382.3637674,71.47199593,29.61847308
35,I3,1.0,3,0.925,1.3052152479999999,9.655366667000001,0.730522,0.045353899999999996,1011.088442,356.7833644,89.91678709,43.06127593,0.0,0.0,4.633028742,0.0,0.0,10.35727876,0.0,0.0,0.0,0.13324106900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.6841954,166.9022333,589.9247406000001,327.9578543,118.7832381,165.74860969999997,2.564766674,438.83450030000006,335.7916751,664.8630646,0.0,103.96986319999999,184.0773266,132.4485449,24.02005168,362.8044379,66.27089042,28.05568206
36,WT,2.0,1,2.117,0.0,9.130653333,1.31949,0.0641698,75.47940373,517.1845316,158.73646399999998,25.52911937,0.0,1.09932809,5.78495464,0.0,0.0,0.0,0.243329228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.3933597,136.21132619999997,43.60482275,219.84855380000002,63.40464949,0.0,0.0,316.2332515,178.7308295,0.0,0.0,2.650394745,13.12044291,52.42194685,11.42912119,277.38924260000005,30.67994201,11.46670254
37,WT,2.0,2,2.186,0.0,9.130653333,1.39529,0.0750422,53.47885705,625.8351686000001,159.52690869999998,27.02884649,0.0,2.068569281,12.86872104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.5123294,133.97291059999998,43.62752647,215.8929373,59.61573662,0.0,3.89539883,315.5903972,167.9405397,0.0,0.0,2.330311777,11.7177699,51.31827779,11.90017008,269.5443835,30.61143399,11.02071457
38,WT,2.0,3,2.1790000000000003,0.0,9.130653333,1.4071,0.07717919999999999,78.47343598,552.598829,163.5765001,29.29565533,0.0,1.0051005990000001,5.158778828,0.0,0.0,0.0,0.23931497300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.2791444,137.11558119999998,46.19699541,219.549797,63.43284146,0.655206915,3.692883197,302.6677064,171.57556369999998,0.0,0.0,2.117097753,11.32032075,51.14712327,10.48996757,280.6609755,35.349298299999994,11.1370315
39,I1,2.0,1,1.465,9.990276673,9.099366667,1.01021,0.0306245,53.44316612,275.3334563,88.79852881,28.63122187,0.0,0.0,0.7696542909999999,0.0,3.149571227,21.57118481,0.0,0.0,0.0,0.809666943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.7776327,158.1578868,58.3210644,303.08062160000003,93.75918323,65.03506926,3.0710095410000005,384.8247651,267.64637059999995,495.1320219,0.0,23.34500221,40.62719772,98.72341479,17.31798919,325.7843579,53.5475144,21.55586934
40,I1,2.0,2,1.53,10.92301385,9.099366667,1.07105,0.0485408,39.42282071,296.7643758,92.03611388,28.11006865,0.0,0.0,3.581942981,0.0,3.019198348,22.45861301,0.0,0.0,0.0,0.8549615779999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.036,163.22128469999998,44.7425471,313.41870960000006,93.40305123,56.81052907,3.648054314,418.2307349,274.9332671,481.10840870000004,0.0,20.489600699999997,35.39671145,102.1767212,15.95498982,336.9990887,50.96888024,21.44358347
41,I1,2.0,3,1.504,10.69204268,9.099366667,1.04566,0.0344848,64.8314873,269.7356121,86.0806944,27.59876665,0.0,0.0,4.523117597,0.0,3.13625553,22.57866457,0.0,0.0,0.0,0.7576053979999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.1050634,159.6948466,48.91622429,306.22382999999996,94.00783044,61.27961023,3.237754499,388.12341810000004,275.2492781,478.63362350000006,0.0,20.61153707,36.83508727,98.56934566,16.44032148,330.5116958,52.53328320000001,21.70386927
